TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN
TID_BUTTON_UPGRADE,Upgrade,Améliorer,Upgrade,Mejorar,Migliora,Uitbreiden,Oppgrader,Melhorar,Yükselt,アップグレード,升级
TID_BUTTON_ATTACK,Attack!,Attaquer!,Angriff!,¡Atacar!,Attacco!,Aanvallen!,Angrip!,Atacar!,Saldır!,攻撃,进攻！
TID_BUTTON_SHOP,Shop,Magasin,Shop,Tienda,Negozio,Winkel,Butikk,Loja,Dükkan,ショップ,商店
TID_BUTTON_SELL,Sell,Vendre,Verkaufen,Vender,Vendi,Verkopen,Selg,Vender,Sat,売る,出售
TID_BUTTON_CANCEL,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Annuleren,Avbryt,Cancelar,İptal,キャンセル,取消
TID_BUTTON_TRAIN,Train Troops,Former,Truppen ausbilden,Entrenar,Addestra truppe,Troepen trainen,Tren soldater,Treinar Tropas,Asker Eğit,ユニットの訓練,训练军队
TID_BUTTON_COLLECT,Collect,Ramasser,Sammeln,Recoger,Prendi,Verzamelen,Samle,Coletar,Topla,回収,收集
TID_BUTTON_INFO,Info,Informations,Info,Info,Informazioni,Info,Info,Info,Bilgi,情報,信息
TID_BUTTON_CLEAR,Remove,Supprimer,Entfernen,Eliminar,Rimuovi,Verwijderen,Fjern,Remover,Kaldır,取り除く,移除
TID_BUTTON_HOME,Return Home,Rentrer,Nach Hause,Volver,Torna a casa,Terug naar huis,Hjem,Voltar,Eve Dön,ホームにもどる,回营
TID_BUTTON_ACCEPT,Accept,Accepter,Annehmen,Aceptar,Accetta,Aanvaarden,Godta,Aceitar,Kabul Et,承認,接受
TID_BUTTON_REJECT,Reject,Rejeter,Ablehnen,Rechazar,Rifiuta,Weigeren,Avslå,Rejeitar,Reddet,拒否,拒绝
TID_BUTTON_SEND,Send,Envoyer,Senden,Enviar,Invia,Versturen,Send,Enviar,Gönder,送信,发送
TID_BUTTON_JOIN,Join,Rejoindre,Beitreten,Unirse,Entra,Meedoen,Delta,Juntar-se,Katıl,参加,加入
TID_TAB_GLOBAL_CHAT,Global,Général,Global,General,Globale,Algemeen,Global,Global,Global,グローバル,公众聊天
TID_TAB_ALLIANCE_CHAT,Clan,Clan,Clan,Clan,Clan,Clan,Klan,Clã,Klan,クラン,部落内部
TID_OBSTACLE_TREE,Tree,Arbre,Baum,Árbol,Albero,Boom,Tre,Árvore,Ağaç,木,树
TID_OBSTACLE_STONE,Stone,Rocher,Stein,Piedra,Pietra,Steen,Stein,Pedra,Taş,岩,石头
TID_OBSTACLE_BUSH,Bush,Buisson,Busch,Arbusto,Cespuglio,Struik,Busk,Arbusto,Çalı,やぶ,灌木
TID_OBSTACLE_TRUNK,Trunk,Tronc,Stamm,Tronco,Tronco,Stronk,Trestamme,Tronco,Kütük,木の幹,树干
TID_OBSTACLE_MUSHROOM,Mushroom,Champignon,Pilz,Seta,Fungo,Paddenstoel,Sopp,Cogumelo,Mantar,キノコ,蘑菇
TID_DECORATION_BARBARIAN_STATUE,Mighty Statue,Grande statue,Große Statue,Estatua de poder,Statua imponente,Machtig standbeeld,Mektig statue,Estátua Poderosa,Muazzam Heykel,偉大なる像,万能神像
TID_DECORATION_TORCH,Torch,Torche,Fackel,Antorcha,Torcia,Toorts,Fakkel,Tocha,Meşale,たいまつ,火把
TID_DECORATION_WHITE_FLAG,White Flag,Drapeau blanc,Weiße Flagge,Bandera blanca,Bandiera bianca,Witte vlag,Hvitt flagg,Bandeira Branca,Beyaz Bayrak,白い旗,白旗
TID_DECORATION_SKULL_FLAG,Pirate Flag,Drapeau de pirate,Piratenflagge,Bandera pirata,Bandiera pirata,Piratenvlag,Piratflagg,Bandeira Pirata,Korsan Bayrağı,海賊の旗,海盗旗
TID_DECORATION_FLOWERBOX1,Cornflower Bed,Lit de bleuets,Kornblumenbeet,Huerto de acianos,Aiuola di fiordalisi,Korenbloembed,Kornblomst,Canteiro de Centáurea,Çiçek Tarhı,ヤグルマソウの花壇,矢车菊
TID_DECORATION_FLOWERBOX2,Sunflower Bed,Lit de tournesols,Sonnenblumenbeet,Huerto de girasoles,Aiuola di girasoli,Zonnebloembed,Solsikke,Canteiro de Girassol,Ayçiçeği Tarhı,ヒマワリの花壇,太阳花
TID_DECORATION_WINDMETER,Weather Vane,Girouette,Wetterfahne,Veleta,Banderuola,Weervaantje,Værhane,Cata-Vento,Rüzgar Gülü,風向計,风向标
TID_DECORATION_DOWNARROW_FLAG,Rally Flag,Drapeau de rassemblement,Versammlungsflagge,Bandera de reunión,Bandiera a scacchi,Verzamelvlag,Samlingsflagg,Bandeira de Reunião,Ralli Bayrağı,集合地点の旗,集合旗
TID_DECORATION_UPARROW_FLAG,Point Flag,Drapeau de positionnement,Punktflagge,Bandera de dirección,Bandiera di posizione,Richtingvlag,Punktflagg,Bandeira de Direção,Nokta Bayrağı,重要地点の旗,点标旗
TID_DECORATION_SKULL_ALTAR,Ancient Skull,Crâne ancien,Alter Schädel,Calavera antigua,Teschio antico,Antieke schedel,Gammel skalle,Crânio Antigo,Antika Kafatası,太古のドクロ,古代头骨
TID_DECORATION_NATIONAL_FLAG,National Flag,Drapeau national,Nationalflagge,Bandera nacional,Bandiera nazionale,Nationale vlag,Nasjonalflagg,Bandeira nacional,Milli Bayrak,国旗,国旗
TID_TIME_DAYS,d,j,T,d,g,d,d,d,g,日,天
TID_TIME_HOURS,h,h,h,h,h,uur,t,h,s,時間,小时
TID_TIME_MINS,m,min,m,m,m,m,m,m,d,分,分钟
TID_TIME_SECS,s,s,s,s,s,s,s,s,n,秒,秒
TID_BATTLE_TIME_TITLE,Battle ends in:,La bataille prend fin dans :,Kampf endet in:,La batalla acaba en:,La battaglia termina tra:,Gevecht eindigt over:,Slaget slutter om:,Batalha termina em:,Savaş bitişi:,戦闘終了まで：,离战斗结束还有：
TID_POPUP_HEADER_WARNING,Warning!,Attention !,Achtung!,¡Cuidado!,Attenzione!,Waarschuwing!,Advarsel!,Atenção!,Uyarı!,警告！,警告！
TID_POPUP_UNDER_ATTACK,"You are under attack! Please wait, your village will load automatically.",On vous attaque ! Veuillez patienter pendant le chargement automatique de votre village.,"Du wirst angegriffen! Bitte warte, dein Dorf lädt sich automatisch.","¡Te están atacando! Espera, tu aldea se cargará automáticamente.","Sei sotto attacco! Attendi, il tuo villaggio si caricherà automaticamente.","Je wordt aangevallen! Ogenblikje geduld, je dorp wordt automatisch geladen.","Du er under angrep! Vent litt, landsbyen lastes automatisk.","Você está sob ataque! Por favor aguarde, sua aldeia será carregada automaticamente.","Saldırıya uğradın! Lütfen bekle, köyün otomatik olarak yüklenecek.",攻撃を受けています！\n村が自動的にロードされるまで少しお待ちください。,您的村庄正在遭受攻击！请稍等，稍后您的村庄信息将会自动更新。
TID_POPUP_TRY_AGAIN,Estimated time left:,Temps restant estimé :,Geschätzte verbleibende Zeit:,Tiempo restante estimado:,Tempo restante stimato:,Resterende tijd:,Anslått tid igjen:,Tempo estimado:,Kalan tahmini süre:,待ち時間：,预计所需时间：
TID_BUTTON_OKAY,Okay,OK,Okay,Vale,Okay,Oké,OK,Ok,Tamam,OK,确定
TID_POPUP_TRAIN_TITLE,Train <limit>,Former <limit>,<limit> trainieren,Entrenar <limit>,Addestra <limit>,Train <limit>,Tren <limit>,Treino <limit>,<limit> Eğit,訓練 <limit>,训练<limit>
TID_INVALID_PLACEMENT,Invalid location! Tap on an empty area,Emplacement non valide ! Touchez une zone libre,Ungültiger Ort! Tippe auf ein leeres Gebiet,¡Lugar no válido! Toca una zona vacía.,Luogo vietato! Tocca un´area libera.,Ongeldige locatie! Tik op een leeg gebied,Ugyldig plassering! Trykk på et tomt område,Local inválido! Toque em uma área vazia,Geçersiz konum! Boş bir alana dokun,ここには配置できません！何もない場所をタップしてください,无效区域！请点击一块空地
TID_ALL_TROOPS_USED,All forces deployed,Toutes les forces ont été déployées,Alle Truppen eingesetzt,Desplegadas todas las unidades.,Tutte le forze schierate,Alle eenheden zijn ingezet,Alle styrker utplassert,Todas as forças implantadas,Tüm kuvvetler konuşlandı,全ユニット出撃済み,已经派出所有兵力
TID_OTHER_TROOP_LEFT,Select a different unit,Sélectionnez une autre unité,Wähle eine andere Einheit,Selecciona una unidad diferente.,Seleziona un´altra unità,Kies een andere eenheid,Velg en annen enhet,Selecione uma unidade diferente,Farklı bir birim seç,別のユニットを選択してください,该兵种已用完，请选择其他兵种！
TID_DIAMONDS,Gems,Gemmes,Juwelen,Gemas,Gemme,Edelstenen,Smykker,Gemas,Taş,エメラルド,宝石
TID_GOLD,Gold,Or,Gold,Oro,Oro,Goud,Gull,Ouro,Altın,ゴールド,金币
TID_ELIXIR,Elixir,Élixir,Elixier,Elixir,Elisir,Elixir,Eliksir,Elixir,İksir,エリクサー,圣水
TID_ITEM_LEVEL,<item> (Level <number>),<item> (niveau <number>),<item> (Level <number>),<item> (nivel <number>),<item> (livello <number>),<item> (level <number>),<item> (nivå <number>),<item> (Nível <number>),<item> (Seviye <number>),<item> （レベル <number>）,<item> （等级<number>）
TID_SHOP_TITLE,Shop,Magasin,Shop,Tienda,Negozio,Winkel,Butikk,Loja,Dükkan,ショップ,商店
TID_ITEM_BROKEN,<item> (Broken),<item> (cassé),<item> (Kaputt),<item> (roto),<item> (Distrutto),<item> (stuk),<item> (ødelagt),<item> (Quebrado),<item> (Bozuk),<item> （破壊）,<item> (损坏）
TID_BUILDING_ARCHER_TOWER,Archer Tower,Tour d'archers,Bogenschützenturm,Torre de arqueros,Torre dell´arciere,Boogschutterstoren,Bueskyttertårn,Torre da Arqueira,Okçu Kulesi,アーチャータワー,箭塔
TID_BUILDING_CLASS_ARMY,Army Buildings,Bâtiments militaires,Armeegebäude,Edificios militares,Edifici dell'esercito,Legergebouwen,Armébygninger,Edifícios Militares,Askeri Binalar,軍事関連,军队建筑
TID_BUILDING_CLASS_DEFENSE,Defenses,Défenses,Verteidigungen,Defensas,Difese,Verdedigingswerken,Forsvar,Defesas,Savunma,防衛設備,防御设施
TID_BUILDING_CLASS_RESOURCE,Resources,Ressources,Ressourcen,Recursos,Risorse,Grondstoffen,Ressurser,Recursos,Kaynaklar,資源,资源
TID_BUILDING_CLASS_WALL,Walls,Remparts,Mauern,Muros,Mura,Muren,Vegger,Muros,Duvarlar,壁,城墙
TID_NOT_ENOUGH_WORKERS_HEADER,All builders are busy!,Tous les ouvriers sont occupés !,Alle Bauarbeiter sind beschäftigt!,¡No hay constructores libres!,Tutti i muratori sono occupati!,Alle bouwvakkers zijn bezig!,Alle byggere er opptatt!,Todos os construtores estão ocupados!,Tüm inşaatçılar meşgul!,大工さんは全員仕事中,所有建筑工人都很忙！
TID_NOT_ENOUGH_WORKERS_TEXT,Complete the previous building and free up a builder?,Terminer le bâtiment précédent et libérer un ouvrier ?,Vorheriges Gebäude abschließen und einen Bauarbeiter freimachen?,¿Quieres completar el edificio anterior para liberar a un constructor?,Vuoi completare l'edificio precedente e liberare un muratore?,Het vorige gebouw voltooien en een bouwvakker vrij maken?,Fullføre den forrige bygningen og frigjøre en bygger?,Completar a construção anterior e liberar um construtor?,Önceki binayı tamamlayıp bir inşaatçıyı boşa çıkar?,建設中の建物を今すぐ完成させて、\n大工をこちらにまわしますか？,立刻完成一个建筑以空出一个建筑工人好吗？
TID_NOT_ENOUGH_RESOURCE,You don't have enough <resource>!,Vous n'avez pas assez de : <resource> !,Du hast nicht genug hiervon: <resource>!,¡Necesitas más <resource>!,Non hai abbastanza <resource>!,Je hebt te weinig <resource>!,Du har ikke nok <resource>!,Você não tem <resource> suficiente!,Yeterli <resource> yok!,<resource>が足りません,您没有足够的<resource>！
TID_TOWN_HALL_LEVEL_TOO_LOW,You need to upgrade your Town Hall to level <number>!,Vous devez améliorer votre hôtel de ville au niveau <number> !,Du musst dein Rathaus auf Level <number> verbessern!,¡Debes mejorar tu ayuntamiento al nivel <number>!,Devi migliorare il tuo Municipio al livello <number>!,Je moet je stadhuis naar level <number> uitbreiden!,Du må oppgradere rådhuset til nivå <number>!,Você precisa atualizar seu Centro da Vila ao nível <number>!,Köy Binasını <number>. seviyeye yükseltmen gerekiyor!,タウンホールをレベル <number>\nにアップグレードして\nください！,您需要升级大本营至<number>级！
TID_POPUP_ABOUT_TO_SELL_TITLE,Sell building,Vendre le bâtiment,Gebäude verkaufen,Vender edificio,Vendi edificio,Gebouw verkopen,Selg bygning,Vender edifício,Binayı sat,建物を売る,出售
TID_POPUP_TEXT_ABOUT_TO_SELL,Do you really want to sell <item> for <number> <resource>?,Voulez-vous vraiment vendre <item> pour <number> <resource>?,"Möchtest du ,,<item>\q wirklich für <number> <resource> verkaufen?",¿Seguro que quieres vender <item> por <number> <resource>?,Vuoi davvero vendere <item> per <number> <resource>?,Wil je <item> echt voor <number> <resource> verkopen?,Vil du virkelig selge <item> for <number> <resource>?,Você realmente quer vender <item> por <number> <resource>?,<item> <number> <resource> karşılığı satılsın mı?,本当に<item>を<resource><number>で\n売りますか？,您确定想以<item>换取<number><resource>吗？
TID_POPUP_UPGRADE_TITLE,Upgrade to level <number>?,Améliorer au niveau <number> ?,Auf Level <number> verbessern?,¿Mejorar al nivel <number>?,Portare al livello <number>?,Upgraden naar level <number>?,Oppgradere til nivå <number>?,Atualizar para nível <number>?,<number>. seviyeye yükseltilsin mi?,レベル<number>にアップグレードしますか？,确定升级至<number>级吗？
TID_POPUP_UPGRADE_BUILD_MORE,Build more:,Construire davantage :,Mehr bauen:,Construye más:,Costruisci più:,Meer bouwen:,Bygg mer:,Construir mais:,Daha inşa et:,もっと建てる：,建造更多的：
TID_RESOURCE_CAP_FULL_GOLD,Build more or upgrade existing Gold Storages!,Construisez plus de réserves d'or ou améliorez celles que vous possédez déjà !,Mehr bauen oder vorhandene Goldlager verbessern!,¡Construye más o mejora los almacenes de oro que ya tienes!,Costruisci altri Depositi d'oro o migliora quelli esistenti!,Bouw meer of upgrade bestaande goudkluizen!,Bygg flere eller oppgrader eksisterende gullagre!,Construir mais ou atualizar Armazenagens de Ouro existentes!,Daha inşa et veya mevcut Altın Depolarını yükselt!,金庫をもっと建てるか、今ある金庫をアップグレードしましょう！,建造更多储金罐或者升级储金罐！
TID_RESOURCE_CAP_FULL_ELIXIR,Build more or upgrade existing Elixir Storages!,Construisez plus de réservoirs d'élixir ou améliorez ceux que vous possédez déjà !,Mehr bauen oder vorhandene Elixierlager verbessern!,¡Construye más o mejora los almacenes de elixir que ya tienes!,Costruisci altri Depositi di elisir o migliora quelli esistenti!,Bouw meer of upgrade bestaande elixirtanks!,Bygg flere eller oppgrader eksisterende eliksirlagre!,Construir mais ou atualizar Armazenagens de Elixir existentes!,Daha inşa et veya mevcut İksir Depolarını yükselt!,エリクサータンクをもっと建てるか、\n今あるエリクサータンクをアップグレードしましょう！,建造更多或者升级圣水瓶！
TID_POPUP_FRIEND_LIST_TITLE,Friends,Amis,Freunde,Amigos,Amici,Vrienden,Venner,Amigos,Arkadaşlar,フレンド,好友
TID_CONNECT_WITH_FACEBOOK_BUTTON,Connect to Facebook,Se connecter à Facebook,Mit Facebook verbinden,Conectar a Facebook,Connetti a Facebook,Maak verbinding met Facebook,Koble til Facebook,Conectar ao Facebook,Facebook'a bağlan,Facebookに接続,连接到Facebook
TID_LOGIN_TO_FACEBOOK_BUTTON,Login to Facebook,S'identifier sur Facebook,Bei Facebook anmelden,Iniciando sesión en Facebook,Acceso a Facebook in corso,Meld je aan op Facebook,Logge på Facebook,Acesso ao Facebook,Facebook oturumu aç,Facebookにログイン,登录到Facebook
TID_LOADING_FACEBOOK_FRIENDS,Loading friend list...,Chargement de la liste d'amis...,Freundesliste laden...,Cargando lista de amigos...,Caricamento lista amici...,Vriendenlijst wordt geladen...,Laster venneliste ...,Carregando lista de amigos ...,Arkadaş listesi okunuyor...,友達リストの読み込み中...,正在载入好友列表......
TID_OBSTACLE_TOMBSTONE,Tombstone,Pierre tombale,Grabstein,Lápida,Lapide,Grafsteen,Gravstein,Lápide,Mezar Taşı,墓石,墓碑
TID_NO_FACEBOOK_FRIENDS,Unable to find Facebook friends who play Clash of Clans,Impossible de trouver vos amis Facebook qui jouent à Clash of Clans,"Es konnten keine Facebook-Freunde gefunden werden, die Clash of Clans spielen",No se han encontrado amigos de Facebook que jueguen a Clash of Clans.,Non è stato possibile trovare amici di Facebook che giocano a Clash of Clans.,Kan geen Facebook-vrienden vinden die Clash of Clans spelen,Finner ikke Facebook-venner som spiller Clash of Clans,Não foi possível encontrar os amigos do Facebook para jogar Clash of Clans,Clash of Clans oynayan Facebook arkadaşları bulunamıyor,クラッシュ・オブ・クランをプレイしているFacebookの友達がみつかりませんでした。,无法找到玩部落战争的Facebook好友
TID_ATTACK_FAIL_NO_MATCHES,Unable to find villages to attack!,Impossible de trouver des villages à attaquer !,Es könnten keine angreifbaren Dörfer gefunden werden!,¡No se han encontrado aldeas que atacar!,Non è stato possibile trovare dei villaggi da attaccare!,Kan geen dorpen vinden om aan te vallen!,Finner ikke landsbyer å angripe!,Não foi possível encontrar vilas para atacar!,Saldırılacak köy bulunamıyor!,攻撃できる村がみつかりませんでした。,无法找到可攻击的玩家！
TID_ATTACK_FAIL_ALREADY_UNDER_ATTACK,Can't attack! Village is already under attack.,Attaque impossible ! Ce village est déjà en cours d'attaque !,Angriff nicht möglich! Dorf wird bereits angegriffen.,¡No se puede atacar! La aldea ya está siendo atacada.,Non è possibile attaccare! Il villaggio. È già sotto attacco.,Je kan niet aanvallen! Het dorp wordt al aangevallen.,Kan ikke angripe! Landsbyen er allerede under angrep.,Ataque indisponível! Vila já está sob ataque.,Saldırılamaz! Köy zaten saldırıya uğradı.,攻撃できません！　この村はすでに攻撃されているところです。,不能攻击！这个村庄正在被攻击。
TID_ATTACK_FAIL_TARGET_ONLINE,Can't attack! Village owner is online.,Attaque impossible ! Le propriétaire de ce village est en ligne.,Angriff nicht möglich! Dorfbesitzer ist online.,¡No se puede atacar! El dueño de la aldea está conectado.,Non è possibile attaccare! Il proprietario del villaggio è online.,Je kan niet aanvallen! De eigenaar van het dorp is online.,Kan ikke angripe! Landsbyeieren er tilkoblet.,Ataque indisponível! Proprietário da vila está online.,Saldırılamaz! Köyün sahibi çevrimiçi.,攻撃できません！　村の持ち主がオンラインです。,不能攻击！该玩家当前在线。
TID_ATTACK_FAIL_SAME_ALLIANCE,Can't attack your own clan members!,Attaque impossible ! Vous ne pouvez attaquer votre propre clan !,Angriff auf deine eigenen Clanmitglieder nicht möglich!,¡No puedes atacar a miembros de tu clan!,Non puoi attaccare i membri del tuo stesso clan.,Je kan geen leden van je eigen clan aanvallen!,Kan ikke angripe dine egne klanmedlemmer!,Não pode atacar seus próprios membros do clã!,Kendi klan üyelerine saldıramazsın!,同じクランの仲間は攻撃できません！,无法攻击同一部落的玩家！
TID_ATTACK_FAIL_SHIELD,Can't attack! Village has active shield,Attaque impossible ! Ce village possède un bouclier de protection,Angriff nicht möglich! Dorf verfügt über aktives Schild,¡No se puede atacar! La aldea tiene un escudo activo.,Non è possibile attaccare! Il villaggio ha uno scudo attivo,Je kan niet aanvallen! Het dorp heeft een actief schild.,Kan ikke angripe! Landsbyen har aktivt skjold,Ataque indisponível! A vila tem um escudo ativo,Saldırılamaz! Köyün etkin kalkanı var,攻撃できません！　この村はシールドが有効になっています。,不能攻击！玩家开启了护盾
TID_ATTACK_FAIL_LEVEL_DIFFERENCE,Can't attack! Level difference is more than <level>,Attaque impossible ! La différence de niveaux est de plus de <level>,Angriff nicht möglich! Levelunterschied höher als <level>,¡No se puede atacar! La diferencia de nivel es superior a <level>.,Non è possibile attaccare! Il livello di difesa è più alto di <level>,Je kan niet aanvallen! Levelverschil is meer dan <level>,Kan ikke angripe! Nivåforskjellen er mer enn <level>,Ataque indisponível! Diferença de nível é maior que <level>,Saldırılamaz! Seviye farkı <level> seviyeden fazla,レベル差が<level>より大きいため、攻撃できません。,不能攻击！等级相差超过<level>级
TID_ATTACK_FAIL_NEWBIE_PROTECTED,Can't attack this village because its Town Hall is below level <number>.,Attaque impossible ! L'hôtel de ville de ce village est en-dessous du niveau <number>.,"Angriff auf dieses Dorf nicht möglich, da das Rathaus unter Level <number> liegt.",No se puede atacar porque su ayuntamiento tiene un nivel inferior a <number>.,Non è possibile attaccare questo villaggio perché il livello del Municipio è inferiore a <number>.,Je kan dit dorp niet aanvallen omdat het level van het stadhuis lager is dan <number>.,Kan ikke angripe denne landsbyen fordi rådhuset dens er under nivå <number>.,Não é possível atacar essa vila porque seu Centro da Vila está abaixo do nível <number>.,Köy Binası <number>. seviyenin altında olduğundan bu köye saldırılamaz.,この村のタウンホールはレベルが<number>未満なので、攻撃できません！,无法攻击此村庄，因为大本营的等级低于<number>。
TID_DEFAULT_VILLAGE_NAME,<name>'s Village,Village de <name>,Dorf von <name>,Aldea de <name>,Villaggio di <name>,<name>'s dorp,<name>s landsby,Vila <name>,<name> Köyü,<name>の村,<name>的村庄
TID_BATTLE_LOG_TITLE,You've been attacked!,Vous avez été attaqué !,Du wurdest angegriffen!,¡Te han atacado!,Sei stato attaccato!,Je werd aangevallen!,Du er blitt angrepet!,Você foi atacado!,Saldırıya uğradın!,攻撃されました！,您遭到了攻击！
TID_BATTLE_LOG_ITEM,<name> attacked you <time> ago.,<name> vous a attaqué il y a <time>.,<name> hat dich vor <time> angegriffen.,<name> te ha atacado hace <time>.,<name> ti ha attaccato <time> fa.,<name> heeft je <time> geleden aangevallen.,<name> angrep deg for <time> siden.,<name> atacou <time> atrás.,<name> sana <time> önce saldırdı.,<time>前に<name>に攻撃されました。,<name>在<time>之前攻击了您。
TID_NO_TROOPS,You need to train some troops first.,Vous devez d'abord former des troupes.,Du musst zuerst ein paar Truppen trainieren.,Primero debes preparar las tropas.,Devi prima addestrare delle truppe.,Je moet eerst wat troepen trainen.,Du må trene noen soldater først.,Você precisa treinar algumas tropas primeiro.,Önce daha fazla asker eğitmelisin.,まずはユニットを訓練してください。,您需要先训练一些军队。
TID_ERROR_POP_UP_BANNED_TITLE,You have been banned!,Vous avez été banni !,Du wurdest gebannt!,¡Has sido expulsado!,Sei stato bandito!,Je bent verbannen!,Du er blitt utestengt!,Você foi banido!,Yasaklandınız!,禁止されました！,您的账号被封了！
TID_ERROR_POP_UP_BANNED,You have been banned temporarily,Vous avez été banni temporairement !,Du wurdest vorübergehend gebannt,¡Has sido expulsado temporalmente!,Sei stato bandito temporaneamente,Je bent tijdelijk verbannen,Du er blitt midlertidig utestengt,Você foi banido temporariamente,Geçici olarak yasaklandınız,一時的に禁止されました！,您的账号暂时被禁了！
TID_ERROR_POP_UP_BANNED_BUTTON,Okay,OK,Okay,Vale,OK,Oké,OK,Ok,Tamam,OK,确定
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Connection error,Erreur de connexion,Verbindungsfehler,Error de conexión,Errore di connessione,Verbindingsfout,Tilkoblingsfeil,Erro de conexão,Bağlantı hatası,接続エラー,连接错误
